"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_750","finished","-","ygideoni","","2023-03-01T04:35:23.000Z","576","","10","500","200","184","750","0.001","","","","199","","","0.009640986014902592","","1.4434140586853028","","295568","","","1.8898886690139771","","0.014292665193974973","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_250","finished","-","dhjayalath","","2023-03-01T04:33:27.000Z","140","","10","500","200","44","250","0.001","","","","199","","","0.06056347418427467","","5.354024406433106","","26788","","","5.425827219772339","","0.06333507634997368","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_150","finished","-","dhjayalath","","2023-03-01T04:31:05.000Z","139","","10","500","200","44","150","0.001","","","","199","","","0.06365320258140564","","5.5907422565460205","","17888","","","5.5907422565460205","","0.06365320258140564","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_2","finished","-","dhjayalath","","2023-03-01T04:28:42.000Z","141","","10","500","200","44","2","0.001","","","","199","","","7.216470468902588","","9.930576182556152","","4716","","","10.550424271392822","","7.228309703826905","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_600","finished","-","ygideoni","","2023-03-01T04:27:22.000Z","479","","10","500","200","184","600","0.001","","","","199","","","0.00958319875150919","","1.481342177772522","","240218","","","1.9730563692092895","","0.01031800244152546","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_5000","finished","-","dhjayalath","","2023-03-01T04:26:12.000Z","148","","10","500","200","44","5000","0.001","","","","199","","","0.06076367362737656","","5.365739492416382","","449538","","","5.369959791564941","","0.06281892366409302","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_3000","finished","-","dhjayalath","","2023-03-01T04:23:51.000Z","139","","10","500","200","44","3000","0.001","","","","199","","","0.06625109424591065","","5.750803240585327","","271538","","","5.754602977371216","","0.06872393888235093","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_2000","finished","-","dhjayalath","","2023-03-01T04:21:31.000Z","137","","10","500","200","44","2000","0.001","","","","199","","","0.05935429921150207","","5.423509162139893","","182538","","","5.468863194656372","","0.06153042724728584","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_500","finished","-","ygideoni","","2023-03-01T04:19:38.000Z","462","","10","500","200","184","500","0.001","","","","199","","","0.008852831836789846","","1.512351264476776","","203318","","","2.149177909088135","","0.016222143988311292","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_1500","finished","-","dhjayalath","","2023-03-01T04:19:08.000Z","140","","10","500","200","44","1500","0.001","","","","199","","","0.05793605082035064","","5.510552643585205","","138038","","","5.598532512664795","","0.059966646951437","",""
